Sim_ID;Fracture_Case;HF_Case;K_min;K_max;Por_min;Por_max;Pore_pressure;Fracture_length_ft;Fracture_height_ft;Fracture_width_in;Fracture_perm_md;SF_Heat_Perf_kJ
1;SF_BASE_CASE_MQR_003_138;1;0,00005;0,001;0,00545;0,0157;5000;100;50;0,1;30000;220
2;SF_BASE_CASE_MQR_003_138;1;0,00005;0,001;0,0545;0,157;5000;100;50;0,1;30000;415,41
3;SF_BASE_CASE_MQR_003_138;1;0,00005;0,001;0,109;0,314;5000;100;50;0,1;30000;551,48
4;SF_BASE_CASE_MQR_003_138;1;0,0001;0,002;0,00545;0,0157;5000;100;50;0,1;30000;468,68
5;SF_BASE_CASE_MQR_003_138;1;0,0001;0,002;0,0545;0,157;5000;100;50;0,1;30000;727,84
6;SF_BASE_CASE_MQR_003_138;1;0,0001;0,002;0,109;0,314;5000;100;50;0,1;30000;896,91
7;SF_BASE_CASE_MQR_003_138;1;0,001;0,02;0,00545;0,0157;5000;100;50;0,1;30000;4187,8
8;SF_BASE_CASE_MQR_003_138;1;0,001;0,02;0,0545;0,157;5000;100;50;0,1;30000;5026,87
9;SF_BASE_CASE_MQR_003_138;1;0,001;0,02;0,109;0,314;5000;100;50;0,1;30000;5544,11
10;SF_BASE_CASE_MQR_003_138;1;0,00005;0,001;0,00545;0,0157;7000;100;50;0,1;30000;305,75
11;SF_BASE_CASE_MQR_003_138;1;0,00005;0,001;0,0545;0,157;7000;100;50;0,1;30000;545,96
12;SF_BASE_CASE_MQR_003_138;1;0,00005;0,001;0,109;0,314;7000;100;50;0,1;30000;718,57
13;SF_BASE_CASE_MQR_003_138;1;0,0001;0,002;0,00545;0,0157;7000;100;50;0,1;30000;658,93
14;SF_BASE_CASE_MQR_003_138;1;0,0001;0,002;0,0545;0,157;7000;100;50;0,1;30000;985,35
15;SF_BASE_CASE_MQR_003_138;1;0,0001;0,002;0,109;0,314;7000;100;50;0,1;30000;1197,32
16;SF_BASE_CASE_MQR_003_138;1;0,001;0,02;0,00545;0,0157;7000;100;50;0,1;30000;5999,73
17;SF_BASE_CASE_MQR_003_138;1;0,001;0,02;0,0545;0,157;7000;100;50;0,1;30000;7062,35
18;SF_BASE_CASE_MQR_003_138;1;0,001;0,02;0,109;0,314;7000;100;50;0,1;30000;7717,58
19;SF_BASE_CASE_MQR_003_138;1;0,00005;0,001;0,00545;0,0157;9000;100;50;0,1;30000;379,53
20;SF_BASE_CASE_MQR_003_138;1;0,00005;0,001;0,0545;0,157;9000;100;50;0,1;30000;654,9
21;SF_BASE_CASE_MQR_003_138;1;0,00005;0,001;0,109;0,314;9000;100;50;0,1;30000;856,4
22;SF_BASE_CASE_MQR_003_138;1;0,0001;0,002;0,00545;0,0157;9000;100;50;0,1;30000;822,81
23;SF_BASE_CASE_MQR_003_138;1;0,0001;0,002;0,0545;0,157;9000;100;50;0,1;30000;1203,33
24;SF_BASE_CASE_MQR_003_138;1;0,0001;0,002;0,109;0,314;9000;100;50;0,1;30000;1449,96
25;SF_BASE_CASE_MQR_003_138;1;0,001;0,02;0,00545;0,0157;9000;100;50;0,1;30000;7568,61
26;SF_BASE_CASE_MQR_003_138;1;0,001;0,02;0,0545;0,157;9000;100;50;0,1;30000;8815,31
27;SF_BASE_CASE_MQR_003_138;1;0,001;0,02;0,109;0,314;9000;100;50;0,1;30000;9583,55
28;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,00545;0,0157;5000;200;50;0,1;30000;332,38
29;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,0545;0,157;5000;200;50;0,1;30000;703,31
30;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,109;0,314;5000;200;50;0,1;30000;968,34
31;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,00545;0,0157;5000;200;50;0,1;30000;709,12
32;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,0545;0,157;5000;200;50;0,1;30000;1215,83
33;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,109;0,314;5000;200;50;0,1;30000;1544,77
34;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,00545;0,0157;5000;200;50;0,1;30000;5981,4
35;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,0545;0,157;5000;200;50;0,1;30000;7603,58
36;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,109;0,314;5000;200;50;0,1;30000;8611,76
37;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,00545;0,0157;7000;200;50;0,1;30000;457,67
38;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,0545;0,157;7000;200;50;0,1;30000;911,82
39;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,109;0,314;7000;200;50;0,1;30000;1246,15
40;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,00545;0,0157;7000;200;50;0,1;30000;988,52
41;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,0545;0,157;7000;200;50;0,1;30000;1626,6
42;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,109;0,314;7000;200;50;0,1;30000;2040,41
43;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,00545;0,0157;7000;200;50;0,1;30000;8534,12
44;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,0545;0,157;7000;200;50;0,1;30000;10588,94
45;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,109;0,314;7000;200;50;0,1;30000;11866
46;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,00545;0,0157;9000;200;50;0,1;30000;564,85
47;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,0545;0,157;9000;200;50;0,1;30000;1084,16
48;SF_BASE_CASE_MQR_003_139;2;0,00005;0,001;0,109;0,314;9000;200;50;0,1;30000;1472,59
49;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,00545;0,0157;9000;200;50;0,1;30000;1228,53
50;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,0545;0,157;9000;200;50;0,1;30000;1972,08
51;SF_BASE_CASE_MQR_003_139;2;0,0001;0,002;0,109;0,314;9000;200;50;0,1;30000;2453,96
52;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,00545;0,0157;9000;200;50;0,1;30000;10741,71
53;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,0545;0,157;9000;200;50;0,1;30000;13152,51
54;SF_BASE_CASE_MQR_003_139;2;0,001;0,02;0,109;0,314;9000;200;50;0,1;30000;14650,54
55;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,00545;0,0157;5000;300;50;0,1;30000;454,85
56;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,0545;0,157;5000;300;50;0,1;30000;1013,33
57;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,109;0,314;5000;300;50;0,1;30000;1415,72
58;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,00545;0,0157;5000;300;50;0,1;30000;958,71
59;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,0545;0,157;5000;300;50;0,1;30000;1736,38
60;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,109;0,314;5000;300;50;0,1;30000;2237,08
61;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,00545;0,0157;5000;300;50;0,1;30000;7720,39
62;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,0545;0,157;5000;300;50;0,1;30000;10239,55
63;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,109;0,314;5000;300;50;0,1;30000;11793,93
64;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,00545;0,0157;7000;300;50;0,1;30000;622,71
65;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,0545;0,157;7000;300;50;0,1;30000;1306,81
66;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,109;0,314;7000;300;50;0,1;30000;1813,05
67;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,00545;0,0157;7000;300;50;0,1;30000;1328,84
68;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,0545;0,157;7000;300;50;0,1;30000;2308,71
69;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,109;0,314;7000;300;50;0,1;30000;2940,91
70;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,00545;0,0157;7000;300;50;0,1;30000;10981,43
71;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,0545;0,157;7000;300;50;0,1;30000;14176,4
72;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,109;0,314;7000;300;50;0,1;30000;16147,19
73;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,00545;0,0157;9000;300;50;0,1;30000;766,11
74;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,0545;0,157;9000;300;50;0,1;30000;1548,44
75;SF_BASE_CASE_MQR_003_140;3;0,00005;0,001;0,109;0,314;9000;300;50;0,1;30000;2135,13
76;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,00545;0,0157;9000;300;50;0,1;30000;1646,08
77;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,0545;0,157;9000;300;50;0,1;30000;2790,37
78;SF_BASE_CASE_MQR_003_140;3;0,0001;0,002;0,109;0,314;9000;300;50;0,1;30000;3525,9
79;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,00545;0,0157;9000;300;50;0,1;30000;13795,32
80;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,0545;0,157;9000;300;50;0,1;30000;17549
81;SF_BASE_CASE_MQR_003_140;3;0,001;0,02;0,109;0,314;9000;300;50;0,1;30000;19867,94
82;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,00545;0,0157;5000;400;50;0,1;30000;586,59
83;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,0545;0,157;5000;400;50;0,1;30000;1329,01
84;SF_BASE_CASE_MQR_003_141;4;0,00005;0,001;0,109;0,314;5000;400;50;0,1;30000;1863,7
85;SF_BASE_CASE_MQR_003_141;4;0,0001;0,002;0,00545;0,0157;5000;400;50;0,1;30000;1214,82
